,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
572,71.418365,74.0412,67.0,55.0,64.0,65.0,60.0,58.0,67.0,63.666668,65.60459,69.95917,68.80911,65.23979,73.73201,70.420715,66.183,77.4263,73.251564,67.106575,62.596977,59.79696,63.399246,54.472485,55.746338,61.368122,74.71478,70.19464,66.428696,70.3227,68.04547158441042
573,58.879093,62.993484,55.0,45.0,42.0,55.0,53.0,46.0,55.0,50.0,52.219772,53.470074,49.6926,50.86752,61.176517,58.223324,52.79413,64.03642,62.547005,53.509106,51.069683,47.700264,50.26742,58.515053,56.914833,52.12876,61.944412,59.173523,52.986103,54.861774,52.950580316793726
574,50.176796,51.701736,48.0,40.0,41.0,50.0,43.0,43.0,48.0,44.0,45.544197,43.61448,47.4532,43.903618,55.758877,50.896866,46.93972,55.814636,53.13572,46.95366,43.11295,42.12247,43.778236,56.16754,54.54722,47.041885,53.322296,54.982716,46.330574,45.537575,44.60832869919767
575,45.970634,45.780342,51.0,40.0,39.0,50.0,46.0,43.0,51.0,45.333332,45.49266,41.95736,43.570198,44.48934,47.152878,46.953373,45.78822,47.783882,45.506424,45.94597,40.361588,40.524494,44.090397,52.808094,52.625957,47.202023,48.424953,47.541264,46.10624,42.850845,42.3847236619109
576,44.52646,41.567318,52.0,35.0,39.0,50.0,45.0,38.0,52.0,45.333332,45.131615,42.040356,42.461517,44.51009,43.6858,39.658894,44.921448,38.272606,38.691574,43.568153,39.301456,40.924423,43.825363,48.303204,45.88256,46.0758,41.712105,40.162025,44.428024,43.66248,44.12229208098707
577,100.31685,92.788246,89.0,90.0,89.0,95.0,89.0,101.0,89.0,89.0,91.82921,98.040955,91.42439,91.26024,88.44414,90.58595,88.86104,91.17921,91.33725,89.5448,97.668686,93.41594,91.167175,57.97547,59.536037,81.243866,92.79967,96.16197,89.94992,100.453674,100.19817792723138
578,92.93446,90.34738,102.0,80.0,76.0,105.0,97.0,92.0,102.0,91.666664,91.98361,100.22189,103.448746,93.80547,96.15825,91.908676,92.789566,93.53733,92.78287,92.13433,100.15948,99.35443,93.78987,59.451443,61.78144,83.61286,92.86937,82.175316,91.96735,99.721596,98.45533105614429
579,87.69049,87.99825,103.0,75.0,84.0,105.0,90.0,81.0,103.0,92.333336,91.17262,93.66113,98.041534,92.66528,93.43608,92.649475,92.609024,95.48461,93.65219,93.121155,97.71628,96.551674,93.67907,65.75812,65.37867,85.68953,93.299805,86.44712,92.57495,92.36337,90.58623919302627
580,87.12076,88.928345,97.0,75.0,79.0,95.0,83.0,91.0,97.0,86.333336,86.53019,88.404434,91.03662,86.851105,97.07676,95.29343,89.01919,94.459724,96.05897,88.36493,88.3365,88.42192,86.83412,71.22252,64.971886,82.55563,93.33112,91.64934,88.08278,89.53048,88.1582346849996
581,74.737,75.368675,92.0,70.0,74.0,90.0,78.0,86.0,92.0,81.333336,79.68425,71.49129,71.72975,78.87282,79.190094,85.00756,80.79752,78.4579,81.38349,80.61447,71.22455,67.51236,78.80614,67.086044,63.229134,77.771515,76.69212,74.80858,80.173035,73.45102,71.67888309858796
582,59.876957,60.1889,73.0,65.0,62.0,75.0,64.0,74.0,73.0,66.333336,64.71924,50.48714,57.237984,62.371784,55.645866,58.811214,63.66147,59.474934,58.236107,64.61874,56.00536,56.003254,63.75134,56.974968,57.712173,63.993744,60.01774,64.406265,64.75443,53.276657,52.03087498218839
583,53.87083,53.22112,65.0,60.0,58.0,60.0,54.0,57.0,65.0,59.0,57.71771,50.221325,52.328594,56.805332,53.270367,54.46163,57.567593,57.204193,55.466084,58.55105,50.583256,51.4958,56.895813,53.318203,52.66722,57.57955,54.463196,54.83034,57.8658,50.674503,48.883640680924806
584,62.27851,55.854362,61.0,55.0,53.0,55.0,54.0,48.0,61.0,56.0,57.569626,60.49312,57.957657,57.12328,64.64838,63.274136,58.162094,62.788403,64.44134,57.6971,61.019783,61.67608,57.254944,57.64827,58.756897,56.412067,53.041286,55.720825,55.260323,61.751472,60.40688779223646
