,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_MLP_MSE,CONSENSUS_HURR_4_XGB_ElasticNet_MSE
787,79.20184,76.461914,50.0,70.0,69.0,85.0,55.0,70.0,50.0,58.0,63.30046,83.09309,81.03565,64.27327,82.218025,79.22824,64.054504,77.16977,79.07311,62.792442,83.62732,81.65619,64.40683,62.16208,59.168297,59.04052,75.129974,75.16524,62.282494,83.18221576692919,83.47812
788,66.479675,67.433426,48.0,60.0,67.0,75.0,55.0,58.0,48.0,56.666668,59.11992,76.775375,73.78558,61.693844,78.07681,71.134285,62.019203,73.60163,72.94101,60.900406,74.79731,75.91875,61.199326,59.725025,56.752438,57.431255,60.97444,67.43399,57.74361,72.27812037510579,72.982765
789,80.792984,77.917595,71.0,85.0,108.0,70.0,73.0,66.0,71.0,84.0,83.19824,77.46352,76.28738,82.365875,76.95401,75.57674,82.2385,77.06662,75.218025,82.266655,80.91109,81.56958,83.22777,65.71521,66.11243,79.4288,84.521484,85.25079,84.13037,80.5277326942915,80.271645
790,87.91361,90.27422,70.0,75.0,79.0,75.0,85.0,62.0,70.0,78.0,80.4784,98.42976,94.3443,83.10744,85.31564,90.038055,79.82891,87.64038,87.033005,80.410095,95.19954,96.697556,82.29988,63.439915,60.8047,74.35998,89.79657,92.31657,80.94914,97.62205196941574,95.367874
791,95.205956,98.331345,81.0,65.0,69.0,75.0,75.0,56.0,81.0,75.0,80.05149,102.875824,102.105995,81.968956,94.03847,98.71716,79.75961,97.28289,98.00337,80.570724,106.379654,100.069984,82.84491,76.37865,68.33452,75.344666,96.58411,99.278244,80.39603,102.15508781832328,100.83235
792,102.95999,104.87082,86.0,60.0,60.0,85.0,73.0,55.0,86.0,73.0,80.49,107.70406,108.096344,81.67602,99.46263,98.08008,79.61566,101.969604,105.64925,80.2424,105.31604,102.26845,81.07901,69.31236,70.784386,72.078094,103.51198,106.78513,80.62799,109.3498492422942,107.58014
793,77.63524,79.64303,88.0,55.0,64.0,80.0,77.0,45.0,88.0,76.333336,76.65881,86.631966,91.82709,78.90799,76.247635,83.62027,76.311905,79.907394,79.105934,77.22685,86.34375,88.922356,78.83594,72.49089,70.84679,75.37273,74.67122,72.899345,75.9178,84.26231701319686,83.28359
794,57.984673,60.872932,74.0,55.0,67.0,65.0,68.0,48.0,74.0,69.666664,66.74617,66.91639,67.193695,68.979095,64.43482,63.420326,68.3587,61.095543,63.60175,67.52389,66.87372,65.8657,68.96843,56.62721,57.280556,66.4068,61.75499,59.81713,67.68875,64.3756980608504,63.637917
795,50.664837,50.10252,68.0,55.0,90.0,60.0,65.0,41.0,68.0,74.333336,68.41621,51.785908,55.68675,68.69648,54.549194,54.1614,69.3873,57.486343,58.73825,70.12158,51.874107,53.084923,68.71853,48.054813,48.490414,67.7637,49.785076,48.325104,68.196266,48.424033170045455,50.02825
796,46.963062,49.297832,71.0,55.0,64.0,65.0,66.0,49.0,71.0,67.0,61.990765,45.985077,48.482788,61.74627,49.849308,48.148388,62.712326,52.05743,51.24719,63.26436,45.33612,47.602924,61.58403,46.63108,47.081142,61.90777,46.775295,48.519913,61.943825,44.040417872641044,45.20482
